깨진입력,정답후보id,왜곡강도,적용한변형
한곡저녀 어,TX:102,강,"받침탈락,군더더기,연음화,모음혼동"
모스 둔 저,INTENT:ASK_ABOUT_TX,강,"군더더기,모음혼동,모음혼동,받침탈락"
오리따 저,CP:2,강,"모음혼동,띄어쓰기,받침탈락,군더더기"
숭크,INTENT:REQUEST_TRANSFER,강,"자음치환,모음혼동,받침탈락"
저기 처세,TX:101,강,"연음화,모음혼동,군더더기"
저오토시,TX:103,강,"연음화,받침탈락,받침탈락"
저 미소,CP:3,강,"받침탈락,모음혼동,군더더기"
젓버내 어,TX:101,강,"연음화,자음치환,군더더기"
사마이저,TX:102,강,"자음치환,띄어쓰기,받침탈락,받침탈락"
그거 이제,INTENT:REQUEST_TRANSFER,강,"모음혼동,자음치환,군더더기,모음혼동"
대한저 부통시,TX:103,강,"받침탈락,띄어쓰기,모음혼동,받침탈락"
처렼,TX:102,강,"자음치환,자음치환,받침탈락"
토쩨,TX:102,강,"모음혼동,모음혼동,받침탈락,자음치환"
킴 여의,CP:2,강,"자음치환,연음화,띄어쓰기"
기멀 수,CP:1|TX:101,강,"모음혼동,띄어쓰기,모음혼동,연음화"
2퍼 음,TX:102,강,"받침탈락,자음치환,군더더기"
토펀쩨,TX:102,강,"모음혼동,모음혼동,자음치환,자음치환"
여의어,CP:2,강,"연음화,군더더기,띄어쓰기"
처기 요그,TX:102,강,"받침탈락,자음치환,띄어쓰기,받침탈락"
하처 저,TX:102,강,"받침탈락,자음치환,군더더기,받침탈락"
사 시마,TX:101,강,"받침탈락,받침탈락,받침탈락,띄어쓰기"
토 버네,TX:102,강,"모음혼동,모음혼동,연음화,자음치환"
한고건력구사,TX:102,강,"모음혼동,받침탈락,모음혼동,연음화"
새세,TX:103,강,"모음혼동,모음혼동,연음화"
저 오리 아틀,CP:1|TX:101,강,"군더더기,자음치환,모음혼동"
3퍼 처기,TX:103,강,"자음치환,받침탈락,군더더기,자음치환"
아트님 김처로 님,TX:101,강,"연음화,모음혼동,자음치환"
크바,INTENT:ASK_UNSUPPORTED,강,"받침탈락,자음치환,띄어쓰기"
처기새,TX:102,강,"모음혼동,자음치환,받침탈락"
새 퍼째,TX:103,강,"받침탈락,자음치환,모음혼동"
아트 음,CP:1|TX:101,강,"받침탈락,자음치환,군더더기"
음포네기,INTENT:REQUEST_TRANSFER,강,"자음치환,군더더기,띄어쓰기,모음혼동"
새펀쩨,TX:103,강,"자음치환,모음혼동,모음혼동"
바 기소,CP:3,강,"연음화,모음혼동,받침탈락,띄어쓰기"
처리 그거,INTENT:GO_COUNTER,강,"받침탈락,자음치환,군더더기"
크나 트,CP:1|TX:101,강,"연음화,띄어쓰기,자음치환,받침탈락"
일퍼 음,TX:101,강,"자음치환,받침탈락,군더더기"
뭐야 처키,INTENT:ASK_ABOUT_TX,강,"군더더기,자음치환,자음치환"
어 차우,INTENT:GO_COUNTER,강,"연음화,모음혼동,군더더기,모음혼동"
음 저로,CP:1|TX:101,강,"모음혼동,연음화,군더더기,자음치환"
타르 그커,INTENT:ASK_UNSUPPORTED,강,"받침탈락,자음치환,군더더기,자음치환"
무 어포기 음,INTENT:ASK_ABOUT_TX|INTENT:ASK_UNSUPPORTED,강,"띄어쓰기,받침탈락,군더더기,자음치환"
저녘쿵사,TX:102,강,"자음치환,연음화,자음치환,모음혼동"
수차,CP:3,강,"받침탈락,자음치환,모음혼동"
저 만구처,TX:103,강,"띄어쓰기,받침탈락,군더더기"
저기 저 버내,TX:101,강,"연음화,자음치환,받침탈락,군더더기"
한구컨 려,TX:102,강,"자음치환,받침탈락,연음화,띄어쓰기"
음 무스 툰,INTENT:ASK_ABOUT_TX,강,"자음치환,모음혼동,군더더기,받침탈락"
오리따,CP:2,강,"받침탈락,모음혼동,띄어쓰기"
그거 숭큼,INTENT:REQUEST_TRANSFER,강,"자음치환,군더더기,모음혼동"
